Llave,Llave2,Nombre_linea,Fecha_aprobacion,Antiguedad_meses,Nombre_fondo,Valor_financiacion,Cuotas,Tipo_interes,Cuotas_vencidas,Cuotas_por_vencer,Y_continua,Y_categorica
100107639_202117,100107639_202117_15969,ESTUDIA YA-TECH GLOBAL NUEVA MODALIDAD,2021-10-05,49,CONVENIO SENA BOGOTA,1569993,4,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100101074_202241,100101074_202241_17962,ESTUDIA YA-TECH GLOBAL PROMO NAVIDEÑA,2022-02-05,45,BOGOTA,3938220,12,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100111767_202241,100111767_202241_16796,ESTUDIA YA-TECH GLOBAL PROMO NAVIDEÑA,2021-12-05,47,BOGOTA,1598085,4,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100073273_202204,100073273_202204_16786,ESTUDIA YA-TECH GLOBAL PROMO NAVIDEÑA,2021-12-05,47,BOGOTA,1605859,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100109570_202117,100109570_202117_16388,ESTUDIA YA-TECH GLOBAL NUEVA MODALIDAD,2021-11-05,48,BOGOTA,1385287,4,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100066745_202231,100066745_202231_17477,ESTUDIA YA-TECH GLOBAL PROMO NAVIDEÑA,2022-02-05,45,BOGOTA,1452650,4,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100115987_202211,100115987_202211_17941,ESTUDIA YA-TECH GLOBAL PROMO NAVIDEÑA,2022-01-25,45,BOGOTA,1774800,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100086378_202231,100086378_202231_17486,ESTUDIA YA-TECH GLOBAL PROMO NAVIDEÑA,2022-02-05,45,CONVENIO SENA BOGOTA,1440410,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100092123_202231,100092123_202231_16982,ESTUDIA YA-TECH GLOBAL PROMO NAVIDEÑA,2021-12-15,46,BOGOTA,889200,4,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100057042_202210,100057042_202210_18559,ESTUDIA YA-TECH GLOBAL PROMO NAVIDEÑA,2022-03-05,44,BOGOTA,1509000,12,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100118637_202241,100118637_202241_18866,ESTUDIA YA-TECH GLOBAL PROMO NAVIDEÑA,2022-02-20,44,CONVENIO SENA NACIONAL,2393872,4,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100092390_202211,100092390_202211_18585,ESTUDIA YA-TECH GLOBAL PROMO NAVIDEÑA,2022-02-25,44,BOGOTA,1988150,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100113669_202251,100113669_202251_17359,ESTUDIA YA-TECH GLOBAL PROMO NAVIDEÑA,2022-01-05,46,CONVENIO FUNDACIÓN YANAPAX,3293877,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100099733_202108,100099733_202108_16304,ESTUDIA YA-TECH GLOBAL NUEVA MODALIDAD,2021-11-05,48,BOGOTA,1427430,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100101855_202211,100101855_202211_17523,ESTUDIA YA-TECH GLOBAL PROMO NAVIDEÑA,2022-02-05,45,CONVENIO SENA NACIONAL,1689927,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100112512_202241,100112512_202241_16879,ESTUDIA YA-TECH GLOBAL PROMO NAVIDEÑA,2021-12-20,46,BOGOTA,3414960,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100098962_202210,100098962_202210_18391,ESTUDIA YA-TECH GLOBAL PROMO NAVIDEÑA,2022-02-15,44,CONVENIO SENA NACIONAL,2292280,12,Cap. Fijo-Int. vencido,12,0,1.0,Alto
100096244_202135,100096244_202135_16240,ESTUDIA YA-TECH GLOBAL NUEVA MODALIDAD,2021-10-31,48,BOGOTA,1153200,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100104101_202251,100104101_202251_17479,ESTUDIA YA-TECH GLOBAL PROMO NAVIDEÑA,2022-02-05,45,BOGOTA,3779227,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100109559_202155,100109559_202155_16583,ESTUDIA YA-TECH GLOBAL PROMO NAVIDEÑA,2021-12-05,47,CONVENIO CORPORACION ASPROF N&S,3313253,4,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100099086_202241,100099086_202241_18446,ESTUDIA YA-TECH GLOBAL PROMO NAVIDEÑA,2022-03-05,44,BOGOTA,1749300,4,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100108060_202155,100108060_202155_16070,ESTUDIA YA-TECH GLOBAL NUEVA MODALIDAD,2021-10-05,49,CONVENIO FUNDACIÓN YANAPAX,3293878,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100093643_202210,100093643_202210_17493,ESTUDIA YA-TECH GLOBAL PROMO NAVIDEÑA,2022-01-15,45,BOGOTA,2346680,12,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100114521_202231,100114521_202231_17527,ESTUDIA YA-TECH GLOBAL PROMO NAVIDEÑA,2022-01-20,45,CONVENIO TOCANCIPA,1686825,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100109605_202135,100109605_202135_16440,ESTUDIA YA-TECH GLOBAL NUEVA MODALIDAD,2021-11-05,48,BOGOTA,1394425,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100112643_202231,100112643_202231_17012,ESTUDIA YA-TECH GLOBAL PROMO NAVIDEÑA,2021-12-30,46,CONVENIO SENA NACIONAL,1596248,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100022124_202145,100022124_202145_16134,ESTUDIA YA-TECH GLOBAL NUEVA MODALIDAD,2021-10-05,49,BOGOTA,1242955,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100113618_202231,100113618_202231_17160,ESTUDIA YA-TECH GLOBAL PROMO NAVIDEÑA,2021-12-30,46,CONVENIO TOCANCIPA,1593112,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100109460_202117,100109460_202117_16326,ESTUDIA YA-TECH GLOBAL NUEVA MODALIDAD,2021-11-20,47,BOGOTA,1385287,4,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100071159_202145,100071159_202145_16246,ESTUDIA YA-TECH GLOBAL NUEVA MODALIDAD,2021-10-31,48,CONVENIO CENTRO DE ESTUDIOS SUPERIORES,1518180,12,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100106979_202241,100106979_202241_17390,ESTUDIA YA-TECH GLOBAL PROMO NAVIDEÑA,2022-01-15,45,BOGOTA,1720485,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100111023_202231,100111023_202231_16951,ESTUDIA YA-TECH GLOBAL PROMO NAVIDEÑA,2021-12-15,46,CONVENIO SENA NACIONAL,1558785,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100114559_202210,100114559_202210_17560,ESTUDIA YA-TECH GLOBAL PROMO NAVIDEÑA,2022-01-25,45,BOGOTA,2370238,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100112777_202211,100112777_202211_17306,ESTUDIA YA-TECH GLOBAL PROMO NAVIDEÑA,2021-12-30,46,BOGOTA,1676200,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100115936_202231,100115936_202231_18432,ESTUDIA YA-TECH GLOBAL PROMO NAVIDEÑA,2022-02-15,44,CONVENIO SENA NACIONAL,1127056,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100101242_202211,100101242_202211_18546,ESTUDIA YA-TECH GLOBAL PROMO NAVIDEÑA,2022-03-05,44,BOGOTA,1789335,4,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100113800_202251,100113800_202251_17310,ESTUDIA YA-TECH GLOBAL PROMO NAVIDEÑA,2021-12-30,46,CONVENIO FUNDACIÓN YANAPAX,3293877,12,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100117053_202211,100117053_202211_18484,ESTUDIA YA-TECH GLOBAL PROMO NAVIDEÑA,2022-02-15,44,BOGOTA,1873400,4,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100116473_202231,100116473_202231_18350,ESTUDIA YA-TECH GLOBAL PROMO NAVIDEÑA,2022-02-15,44,CONVENIO SENA BOGOTA,1558785,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100089588_202211,100089588_202211_17530,ESTUDIA YA-TECH GLOBAL PROMO NAVIDEÑA,2022-01-15,45,CONVENIO SENA BOGOTA,1719040,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100086444_202231,100086444_202231_17120,ESTUDIA YA-TECH GLOBAL PROMO NAVIDEÑA,2022-01-05,46,BOGOTA,673170,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
100116809_202211,100116809_202211_18302,ESTUDIA YA-TECH GLOBAL PROMO NAVIDEÑA,2022-02-05,45,BOGOTA,1873400,6,Cap. Fijo-Int. vencido,0,0,0.0,Bajo
